# generated by scripts/build_vocab.py — do not edit by hand
word	class	concreteness	frequency	pos
bonkers	abstract	1.76	57.0	Noun
boomingly	abstract	1.92	0.0	#N/A
boorishly	abstract	1.68	0.0	#N/A
boredom	abstract	1.96	109.0	Noun
boringly	abstract	1.71	1.0	Adverb
boringness	abstract	1.86	2.0	Noun
bother	abstract	2.00	3436.0	Verb
bothersome	abstract	1.85	16.0	Adjective
boundless	abstract	2.00	15.0	Adjective
bourgeois	abstract	1.97	60.0	Adjective
brainpower	abstract	1.56	8.0	Noun
brainy	abstract	1.88	48.0	Adjective
brashness	abstract	1.61	1.0	Noun
bravado	abstract	1.93	24.0	Noun
bravely	abstract	1.93	78.0	Adverb
braveness	abstract	1.92	3.0	Noun
braver	abstract	2.00	58.0	Adjective
bravery	abstract	1.96	147.0	Noun
bravo	abstract	1.86	970.0	Interjection
brazen	abstract	1.93	60.0	Adjective
breakthrough	abstract	1.87	175.0	Noun
breakup	abstract	2.00	149.0	Noun
breathtaking	abstract	1.85	63.0	Adjective
bribable	abstract	1.92	1.0	Adjective
briefly	abstract	1.90	163.0	Adverb
brilliantly	abstract	1.97	63.0	Adverb
broadly	abstract	1.68	9.0	Adverb
broadminded	abstract	1.74	3.0	Adjective
brooding	abstract	1.93	49.0	Adjective
broody	abstract	1.50	8.0	Adjective
brotherly	abstract	1.93	43.0	Adjective
brutal	abstract	2.00	375.0	Adjective
brutalism	abstract	2.00	0.0	#N/A
brutishly	abstract	1.96	0.0	#N/A
bullheadedness	abstract	1.67	2.0	Noun
bullishly	abstract	1.65	0.0	#N/A
bummer	abstract	1.97	212.0	Noun
bungle	abstract	1.84	9.0	Verb
bureaucracy	abstract	1.64	26.0	Noun
bygone	abstract	1.69	13.0	Adjective
cahoots	abstract	1.96	32.0	Noun
calamity	abstract	2.00	102.0	Noun
callously	abstract	1.85	5.0	Adverb
callousness	abstract	1.93	8.0	Noun
calmingly	abstract	2.00	0.0	#N/A
calmness	abstract	1.83	5.0	Noun
came	abstract	1.85	23650.0	Verb
candid	abstract	1.81	102.0	Adjective
candidly	abstract	1.67	26.0	Adverb
candor	abstract	1.96	51.0	Noun
capability	abstract	1.93	70.0	Noun
capitalism	abstract	1.96	51.0	Noun
capitalistic	abstract	1.72	15.0	Adjective
capitulation	abstract	1.78	5.0	Noun
captivate	abstract	1.64	9.0	Verb
captivating	abstract	1.75	8.0	Adjective
carefree	abstract	1.88	69.0	Adjective
careful	abstract	1.86	5550.0	Adjective
careless	abstract	1.78	251.0	Adjective
carelessly	abstract	1.90	29.0	Adverb
carelessness	abstract	1.76	33.0	Noun
caring	abstract	1.77	359.0	Verb
carnality	abstract	2.00	3.0	Noun
casually	abstract	1.63	94.0	Adverb
catchy	abstract	1.79	109.0	Adjective
categorically	abstract	1.74	20.0	Adverb
catholicism	abstract	1.93	23.0	#N/A
cattiness	abstract	1.96	1.0	Noun
catty	abstract	1.90	19.0	Adjective
causable	abstract	1.74	1.0	Adjective
causation	abstract	1.81	9.0	Noun
causative	abstract	1.54	4.0	Adjective
causing	abstract	1.55	502.0	Verb
cautionary	abstract	2.00	18.0	Adjective
cautious	abstract	1.81	171.0	Adjective
cavalierly	abstract	1.91	2.0	Adverb
caveat	abstract	2.00	17.0	Noun
ceaseless	abstract	1.84	8.0	Adjective
ceaselessly	abstract	1.86	7.0	Adverb
celebrated	abstract	1.97	138.0	Verb
celebratory	abstract	1.87	14.0	Adjective
censorship	abstract	1.79	54.0	Noun
certain	abstract	1.68	4354.0	Adjective
certainly	abstract	1.86	6067.0	Adverb
certainty	abstract	1.59	154.0	Noun
certifiably	abstract	2.00	8.0	Adverb
chagrined	abstract	1.58	8.0	Adjective
chance	abstract	1.64	12303.0	Noun
changeful	abstract	1.96	0.0	#N/A
characterization	abstract	1.81	7.0	Noun
characterize	abstract	2.00	35.0	Verb
charade	abstract	1.93	112.0	Noun
charismatic	abstract	1.77	41.0	Adjective
charitably	abstract	1.96	5.0	Adverb
charmless	abstract	1.55	3.0	Adjective
chastity	abstract	2.00	74.0	Noun
chauvinism	abstract	1.86	12.0	Noun
cheapen	abstract	1.93	16.0	Verb
cheapness	abstract	1.72	2.0	Noun
cherish	abstract	1.73	227.0	Verb
chidingly	abstract	1.68	0.0	#N/A
chiefly	abstract	1.90	11.0	Adverb
chivalry	abstract	1.88	61.0	Noun
choice	abstract	1.90	4975.0	Noun
choosy	abstract	1.60	30.0	Adjective
chummy	abstract	1.93	54.0	Adjective
cinematically	abstract	1.96	2.0	Adverb
circumscribed	abstract	1.74	2.0	Verb
circumspect	abstract	1.81	10.0	Adjective
circumstance	abstract	1.77	105.0	Noun
circumstances	abstract	1.59	1170.0	Noun
circumstantial	abstract	1.96	85.0	Adjective
civically	abstract	1.93	0.0	#N/A
civility	abstract	1.62	28.0	Noun
civilize	abstract	1.90	8.0	Verb
civilized	abstract	1.93	315.0	Adjective
civilizing	abstract	2.00	5.0	Adjective
civilly	abstract	1.73	3.0	Adverb
claimable	abstract	1.81	0.0	#N/A
claimless	abstract	1.92	0.0	#N/A
clairvoyance	abstract	1.69	10.0	Noun
clarification	abstract	1.93	30.0	Noun
clarity	abstract	2.00	107.0	Noun
classic	abstract	2.00	824.0	Adjective
classically	abstract	1.85	18.0	Adverb
classism	abstract	1.81	2.0	Noun
classless	abstract	1.81	4.0	Adjective
claustrophobic	abstract	2.00	68.0	Adjective
clearheaded	abstract	1.60	4.0	Verb
clever	abstract	1.79	1391.0	Adjective
closure	abstract	1.78	158.0	Noun
clueless	abstract	1.97	94.0	Adjective
coaxingly	abstract	1.71	0.0	#N/A
cockily	abstract	1.90	0.0	#N/A
codeless	abstract	1.93	0.0	#N/A
codependency	abstract	1.89	2.0	Noun
codependent	abstract	2.00	8.0	Adjective
coefficient	abstract	1.85	8.0	Noun
coercible	abstract	1.85	0.0	#N/A
coercion	abstract	1.71	22.0	Noun
coercively	abstract	1.69	2.0	Adverb
cognition	abstract	1.79	1.0	Noun
cognitive	abstract	1.63	34.0	Adjective
cognitively	abstract	1.64	2.0	Adverb
coherency	abstract	1.96	1.0	Noun
coherent	abstract	2.00	53.0	Adjective
coincidence	abstract	1.57	948.0	Noun
coincident	abstract	1.92	10.0	Adjective
coincidental	abstract	1.70	42.0	Adjective
coincidentally	abstract	1.48	30.0	Adverb
coincidently	abstract	1.95	2.0	Adverb
coldhearted	abstract	1.68	5.0	Adjective
collaborate	abstract	1.81	31.0	Verb
colloquial	abstract	2.00	3.0	Adjective
colloquialism	abstract	1.88	3.0	Noun
colonialism	abstract	1.85	17.0	Noun
comeuppance	abstract	2.00	9.0	Noun
comfortless	abstract	1.31	2.0	Adjective
commiserate	abstract	1.90	9.0	Verb
commitment	abstract	1.74	550.0	Noun
committable	abstract	1.81	2.0	Adjective
committal	abstract	1.77	7.0	Noun
commonality	abstract	1.74	6.0	Noun
commonly	abstract	1.73	64.0	Adverb
